,mcmullin,hansen,lee,williams
Beaver,419,33,1971,24
Box Elder,4725,463,14434,276
Cache,15580,1228,24588,586
Carbon,2114,230,4265,119
Daggett,109,4,377,8
Davis,52806,2897,66385,1654
Duchesne,912,96,5170,103
Emery,712,70,3269,56
Garfield,520,33,1795,37
Grand,2421,250,1901,71
Iron,3755,437,12923,194
Juab,714,70,3886,61
Kane,946,104,2553,56
Millard,701,88,4279,62
Morgan,1358,79,3665,55
Piute,82,6,692,3
Rich,206,14,844,9
Salt Lake,218495,13902,144931,3780
San Juan,1815,338,3118,289
Sanpete,1912,150,7829,113
Sevier,1152,120,6411,92
Summit,12325,553,7305,171
Tooele,7487,809,13371,402
Uintah,1559,203,8905,166
Utah,72238,4949,127096,1762
Wasatch,5429,350,7528,157
Washington,17786,1526,49420,769
Wayne,415,26,1056,17
Weber,31265,2756,42007,1011
